"","X","IdCliente","Apellido","ScoringCrediticio","Pais","Genero","Edad","IdCuenta","BalanceCuenta","CantidadProductos","TarjetaCredito","Activo","SalarioEstimado","DejaBanco"
"74",3561,15652789,"Hancock",657,"España","Masculino",40,4946,0,2,1,1,52990.7,0
"75",4286,15798885,"Burns",585,"Francia","Masculino",56,8794,138227.19,2,1,1,55287.84,0
"76",5481,15671351,"Romani",624,"España","Masculino",35,6823,0,2,1,0,87310.59,0
"77",514,NA,"Volkov",521,"Francia","Masculino",35,1200,96423.84,1,1,0,10488.44,0
"78",1992,15691387,"Agafonova",483,"Francia","Masculino",29,5796,0,1,1,1,81634.45,0
"79",6024,15735968,"Hsing",605,"Francia","Masculino",41,8828,0,2,0,1,97213.09,0
"80",428,15570086,"Lynch",684,"Alemania","Masculino",18,8723,90544,1,0,1,4777.23,0
"81",9115,15801942,"Chu",619,"España","Femenino",41,7166,0,3,1,1,79866.73,1
"82",5702,15570002,"Burlingame",625,"Alemania","Femenino",55,9924,118772.71,4,0,0,135853.62,1
"83",2322,15806389,"Walton",549,"Alemania","Femenino",55,8760,137592.31,2,0,1,116548.02,1
"84",1358,15635728,"P'an",693,"Francia","Masculino",41,2974,0,2,0,0,156381.47,0
"85",2220,15663294,"Kao",703,"Francia","Masculino",32,6051,125685.79,1,1,1,56246.72,0
"86",9506,15727696,"Zubareva",592,"Francia","Masculino",42,3947,147249.29,2,1,1,63023.02,0
"87",8482,15588986,"Grant",673,"Alemania","Femenino",29,2413,99097.36,1,1,1,9796.69,0
"88",5454,15764351,"Yuryeva",668,"Alemania","Femenino",59,3824,120170.07,1,0,1,50454.8,0
"89",9628,15783463,"Read",678,"Francia","Femenino",26,7743,0,2,1,0,45443.68,0
"90",2481,15667046,"Tseng",694,"España","Masculino",38,3745,121527.4,1,1,0,113481.02,0
"91",6391,15715199,"Estrada",568,"España","Masculino",27,7612,126815.97,2,0,1,118648.12,0
"92",9974,15761986,"Obialo",439,"España","Femenino",32,1577,138901.61,1,1,0,75685.97,0
"93",2984,15662884,"Naylor",739,"Alemania","Masculino",58,4841,110597.76,1,0,1,160122.66,1
"94",3175,15664498,"Golovanov",508,"Francia","Masculino",26,5437,205962,1,1,0,156424.4,0
"95",803,15649487,"Sal",578,"Alemania","Femenino",38,3919,113150.44,2,1,0,176712.59,1
"96",5233,15801125,"Kegley",627,"Francia","Femenino",32,4740,0,1,1,0,106851.7,0
"97",6544,15737792,"Abbie",818,"Francia","Femenino",31,1842,186796.37,1,0,0,178252.63,0
"98",273,15724296,"Kerr",684,"España","Masculino",41,1769,119782.72,2,0,0,120284.67,0
"99",5743,15658485,"Heath",785,"Francia","Femenino",34,1925,70302.48,1,1,1,68600.36,0
"100",2409,15592326,"Baker",583,"Francia","Masculino",36,8417,0,2,0,1,5571.59,0
"101",3928,15681342,"Hurst",639,"Francia","Femenino",35,7994,103015.12,2,1,1,139094.12,0
"102",3467,15677087,"Green",662,"Francia","Femenino",39,7693,138106.75,1,0,0,19596.73,0
"103",7721,15728542,"Vorobyova",850,"Francia","Femenino",71,9459,0,2,1,1,107236.87,0
"104",4229,15776096,"Halpern",606,"España","Masculino",34,7793,161572.24,1,0,1,191076.22,0
"105",2598,15683625,"Hare",703,"Francia","Masculino",37,1472,149762.08,1,1,0,20629.4,1
"106",8667,15738191,"Maclean",577,"Francia","Masculino",25,1026,0,2,0,1,124508.29,0
"107",4985,15645621,"Hunter",811,"España","Masculino",44,1997,0,2,0,1,78439.73,0
"108",8262,15795186,"Leonard",562,"Francia","Masculino",38,6793,0,1,1,0,115700.2,0
"109",5505,15763922,"Alexandrov",608,"Francia","Masculino",31,6163,79962.92,2,1,0,60901.72,0
"110",3933,15712960,"Olisanugo",613,"España","Masculino",37,8907,171653.17,NA,0,1,5353.12,0
"111",3302,15583364,"McGregor",476,"Francia","Femenino",32,3504,111871.93,1,0,0,112132.86,0
"112",6236,15570908,"Harding",687,"España","Femenino",29,9741,93617.07,1,0,1,113050.92,0
"113",5653,15790113,"Schofield",609,"Alemania","Femenino",71,8500,113317.1,1,1,0,108258.22,1
"114",6856,15727539,"Schoenheimer",618,"Francia","Femenino",31,7889,0,2,1,0,29176.04,0
"115",1069,15762902,"Stanley",649,"Francia","Femenino",42,3181,0,2,0,1,22974.01,0
"116",2977,15665579,"Cartwright",597,"Francia","Femenino",28,10183,142705.95,1,1,0,127233.39,0
"117",7356,15712807,"Robertson",556,"España","Masculino",46,9877,131764.96,1,1,1,108500.66,1
"118",3081,15747795,"Pai",593,"Alemania","Femenino",38,1402,129499.42,1,1,1,154071.27,0
"119",4045,15792151,"Hamilton",635,"España","Femenino",37,4613,0,2,1,0,91086.73,0
"120",6614,15695492,"P'eng",439,"Francia","Femenino",29,3333,156569.43,1,1,0,180598.66,0
"121",2395,15651900,"Bergamaschi",782,"Alemania","Femenino",53,10479,81571.05,1,1,0,182960.46,1
"122",9405,15685329,"McKenzie",531,"Francia","Femenino",63,1770,114715.71,1,0,1,24506.95,1
"123",7611,15776936,"Whitworth",475,"Francia","Masculino",40,10009,160818.08,1,0,1,169642.13,1
"124",9145,15624170,"Tan",639,"Francia","Femenino",38,1493,81550.94,2,0,1,118974.77,0
"125",5994,15583392,"Woronoff",747,"Alemania","Masculino",37,6751,135776.36,3,1,0,85470.45,1
"126",7819,15668679,"Ozerova",630,"Francia","Masculino",31,8039,0,2,1,1,34475.14,0
"127",8677,15711540,"Pacheco",712,"Francia","Femenino",29,1237,0,1,1,1,144375,0
"128",6161,15615457,"Burns",842,"España","Femenino",44,1546,112652.08,2,1,0,126644.98,0
"129",2498,15734892,"Fennell",579,"España","Masculino",37,7181,0,2,1,1,32246.63,0
"130",5356,15620030,"Jamieson",744,"Francia","Masculino",29,4756,0,1,0,0,82422.97,0
"131",5363,15582903,"Edwards",643,"Francia","Masculino",39,10434,0,2,1,1,170392.59,0
"132",4992,15645463,"Udinese",843,"Francia","Femenino",27,3564,0,2,1,1,67494.23,0
"133",1534,15652030,"De Bernales",637,"Alemania","Masculino",49,8970,108204.52,1,1,0,169037.84,1
"134",5262,15722090,"Tseng",615,"España","Masculino",51,7458,81818.49,1,1,1,169149.38,0
"135",7391,15622461,"Ndubuagha",562,"Francia","Femenino",51,9970,122822,2,0,0,32626.21,0
"136",3392,15703037,"Edwards",618,"Francia","Masculino",37,7187,0,1,0,1,178705.45,1
"137",5939,15769504,"Munro",743,"Alemania","Femenino",34,1794,131736.88,1,1,1,108543.21,0
"138",1985,15798666,"Hughes",814,"Francia","Femenino",36,3517,0,2,1,1,98657.01,0
"139",4586,15670172,"Padovesi",622,"Francia","Femenino",30,3703,107879.04,1,0,1,196894.62,0
"140",8043,15668767,"Kenenna",850,"Francia","Masculino",36,7638,0,2,1,0,195033.07,0
"141",4240,15631813,"Beneventi",621,"Francia","Masculino",39,2592,0,2,1,1,58883.91,0
"142",5097,15723604,"Collins",639,"Francia","Masculino",39,10457,150555.83,1,1,0,30414.17,0
"143",3368,15736816,"Young",756,"Alemania","Masculino",36,1027,136815.64,1,1,1,170041.95,0
"144",7319,15794792,"Golubev",612,"Francia","Femenino",31,4945,117989.76,1,1,1,54129.86,0
"145",4379,15674573,"Gearhart",713,"Francia","Femenino",25,10470,121172.97,1,1,1,56268.98,0
"146",6700,15759480,"H?",644,"Francia","Femenino",40,9192,139180.97,1,1,1,19959.67,0
"147",8264,15658532,"Nnamutaezinwa",520,"España","Femenino",63,2286,162278.32,1,1,1,34765.33,0
"148",3716,15664793,"Scott",754,"España","Femenino",50,8098,146777.44,2,0,1,150685.52,0
"149",7842,15657107,"Angelo",563,"España","Femenino",46,2989,106171.68,1,1,0,163145.5,1
"150",777,15635364,"Gray",618,"Francia","Femenino",49,10233,44301.43,3,1,1,89729.3,1
"151",7181,15668289,"McWilliams",690,"España","Masculino",32,7288,76087.98,1,0,1,151822.66,0
"152",7378,15744607,"Martin",738,"Alemania","Masculino",43,1734,121152.05,2,1,0,64166.7,1
"153",2275,15742632,"Alexeyeva",670,"Francia","Femenino",31,2438,0,1,0,1,76254.83,0
"154",7811,15654341,"Chao",542,"Francia","Masculino",34,4653,101116.06,1,1,0,196395.05,0
"155",5108,15795370,"Mazure",648,"Alemania","Masculino",37,10417,131753.41,1,1,0,86894.67,0
"156",33,15599829,"Padovesi",577,"Francia","Femenino",35,3748,0,2,1,1,25161.61,0
"157",8861,15687363,"McMillan",770,"Francia","Masculino",31,10605,155047.56,2,1,1,186064.34,0
"158",1553,15664681,"Aitken",584,"Francia",NA,35,9298,114321.28,2,0,0,15959.01,0
"159",9899,15625445,"Parkin",572,"Francia","Femenino",36,8830,68348.18,2,0,1,50400.32,0
"160",9283,15592123,"Buccho",768,"Francia","Masculino",30,9773,NA,2,1,1,199454.37,0
"161",604,15797748,"Lu",729,"Francia","Masculino",44,1921,0,2,0,1,9200.54,0
"162",5225,15693947,"Tokareva",614,"Francia","Femenino",19,3670,97445.49,2,1,0,122823.34,0
"163",481,15779904,"Yobanna",597,"Francia","Femenino",29,10140,0,2,1,1,174825.57,0
"164",8174,15611612,"Priestley",570,"Francia","Femenino",29,6770,0,1,1,0,37092.43,0
"165",2095,15735782,"MacDonald",528,"Francia","Masculino",31,10203,120962.59,1,1,0,5419.31,0
"166",906,15593283,"Higgins",705,"Alemania","Femenino",48,10832,156848.13,2,1,1,99475.95,1
"167",2564,15793856,"Abdulov",667,"España","Femenino",36,7328,121542.57,2,1,1,186841.71,0
"168",2545,15801277,"Maccallum",715,"Francia","Femenino",31,1687,112212.14,2,1,1,181600.72,0
"169",6047,15610930,"Kwemto",572,"Alemania","Femenino",35,5510,139979.07,1,1,0,185662.84,0
"170",1036,15806901,"Henderson",584,"Francia","Femenino",39,4283,112687.69,1,1,1,127749.61,0
"171",2178,15659364,"Thompson",685,"España","Masculino",23,10795,164902.43,1,0,0,141152.28,0
"172",4398,15596992,"Norris",482,"Alemania","Masculino",45,7086,156353.46,1,1,0,72643.95,1
"173",1189,15594408,"Chia",584,"España","Femenino",48,1139,213146.2,1,1,0,75161.25,1
"174",4986,15793049,"Atkins",680,"Alemania","Femenino",48,4640,115115.38,1,1,0,139558.6,1
"175",3150,15709447,"Reed",584,"Francia","Femenino",26,10378,146286.22,1,1,0,105105.35,0
"176",1579,15661830,"Lucciano",750,"España","Femenino",36,9620,0,2,1,1,59816.41,0
"177",7525,15771855,"Yu",682,"Francia","Masculino",37,4608,0,2,0,1,112554.68,0
"178",2141,15664506,"Goodwin",675,"España","Masculino",32,7867,197436.82,1,1,1,52710.7,0
"179",5587,15647203,"Gebhart",750,"Francia","Femenino",35,10641,0,1,1,0,191520.5,0
"180",7107,15630709,"Castiglione",619,"Alemania","Femenino",31,5637,56116.3,2,0,0,2181.94,0
"181",6566,15607629,"Hollis",679,"Francia","Masculino",48,7122,0,2,1,0,23344.94,0
"182",5853,15694641,"Wright",621,"España","Femenino",59,9184,0,2,1,1,171364.18,0
"183",8116,15625964,"Buckley",582,"Francia","Femenino",43,7501,153313.67,1,0,0,170563.73,0
"184",7741,15686137,"Barry",456,"España","Masculino",32,1859,147506.25,1,1,1,135399.21,0
"185",5143,15575581,"Dickson",614,"Alemania","Femenino",30,2147,131344.52,2,1,0,54776.64,0
"186",9286,15702561,"Dale",782,"Francia","Masculino",32,7500,0,1,1,1,NA,0
"187",3478,15748327,"Anderson",724,"Alemania","Masculino",34,5334,118235.7,2,0,0,157137.23,0
"188",3033,15710111,"Clark",742,"Francia","Masculino",33,9265,0,2,0,0,38550.4,0
"189",6495,15693902,"Hunt",597,"Francia","Masculino",19,6875,0,2,1,1,91036.74,0
"190",4483,15709639,"Wilson",717,"Francia","Femenino",22,8997,112465.06,1,1,1,92977.75,0
"191",88,15729110,"Lavrov",729,"España","Femenino",42,7634,0,2,1,0,58268.2,1
"192",8388,15603436,"Savage",594,"España","Femenino",49,1703,126615.94,2,0,1,123214.74,0
"193",8310,15770719,"Duncan",697,"Francia","Femenino",39,3797,151553.19,1,1,1,44946.29,0
"194",9744,15660101,"Nnonso",803,"Francia","Masculino",31,1756,157120.86,2,1,0,141300.53,0
"195",3012,15598338,"Mays",647,"Alemania","Femenino",33,8815,168560.46,2,0,0,90270.16,0
"196",1323,15804295,"Pinto",485,"Francia","Masculino",41,10725,100254.76,2,1,1,12706.67,0
"197",2807,15634262,"Fantin",709,"Alemania","Masculino",34,3035,148375.19,2,1,1,21521.38,0
"198",2068,15591698,"P'eng",849,"Alemania","Femenino",49,9344,132934.89,1,1,0,171056.65,1
"199",2124,15775235,"Ku",690,"Francia","Femenino",36,8162,110480.48,1,0,0,81292.33,0
"200",6207,15720155,"Tao",630,"Alemania","Masculino",29,9398,131354.39,1,0,1,9324.31,1
"201",7165,15698664,"Liang",567,"España","Masculino",43,5622,115643.58,2,0,0,174606.35,0
"202",7180,15657386,"Fiorentini",712,"Alemania","Masculino",43,2621,141749.74,2,0,1,90905.26,0
"203",7262,15669783,"Simpson",586,"Francia","Femenino",60,9808,47020.65,2,0,1,63241.21,1
"204",4404,15764343,"T'ien",688,"España","Femenino",46,6727,155681.72,1,1,0,26287.21,0
"205",1710,15774936,"Liang",543,"Alemania","Masculino",41,8736,143350.41,1,1,1,192070.16,1
"206",5268,15695474,"Barker",583,"Francia","Masculino",33,10975,122531.86,1,1,0,13549.24,0
"207",220,15656822,"Day",568,"Alemania","Masculino",43,7173,87612.64,4,1,1,107155.4,1
"208",6259,15625524,"Rowe",512,"Francia","Masculino",40,1175,0,2,1,1,146457.83,0
"209",3773,15588419,"Johnston",651,"Alemania","Femenino",34,7473,148962.46,1,1,0,66389.43,1
"210",2039,15810432,"Moseley",795,"España","Masculino",35,1415,0,2,1,0,167155.36,0
"211",9582,15809616,"Hsiung",626,"España","Masculino",26,1416,0,2,0,0,191420.71,0
"212",491,15688563,"Marchesi",694,"Alemania","Masculino",31,10552,141989.27,2,1,0,26116.82,0
"213",3660,15795149,"Stevens",703,"Francia","Masculino",28,1240,81173.83,2,0,1,162812.16,0
"214",7950,15770435,"McLean",639,"Francia","Femenino",50,2810,115335.32,2,1,1,53130.41,0
"215",5493,15730469,"Anenechi",663,"España","Masculino",31,4637,103430.11,2,0,1,36479.27,0
"216",8314,15781665,"Ibekwe",601,"Francia","Femenino",37,7928,0,1,0,0,20708.6,0
"217",2812,15597131,"Fu",415,"Francia","Masculino",32,2529,145807.59,1,1,1,3064.65,0
"218",3848,15609987,"Smith",755,"Francia","Masculino",42,8540,119919.12,1,1,0,156868.21,0
"219",5491,15674851,"T'ien",622,"Francia","Masculino",38,2777,0,2,0,0,105295.77,0
"220",1512,15569222,"Mendes",781,"Francia","Masculino",32,3311,147107.91,1,1,1,40066.95,0
"221",5652,15598086,"Brown",624,"Francia","Femenino",45,3531,68639.57,1,1,0,168002.31,1
"222",6080,15651883,"Genovesi",794,"Alemania","Femenino",55,7576,115796.7,1,1,0,160526.36,1
"223",4033,15668669,"Benson",423,"Francia","Femenino",36,NA,97665.61,1,1,0,118372.55,1
"224",3006,15663312,"Marino",494,"Francia","Femenino",35,10143,112727.06,2,1,0,183752.91,0
"225",3229,15700854,"Cunningham",595,"España","Masculino",35,2690,0,1,1,0,100015.79,1
"226",8905,15583840,"Okechukwu",587,"Alemania","Masculino",35,5218,121863.61,1,1,1,23481.69,1
"227",1765,15653251,"Hickey",408,"Francia","Femenino",84,4532,87873.39,1,0,0,188484.52,1
"228",5336,15634591,"Saunders",850,"Francia","Masculino",33,10291,73059.38,1,1,1,186281,0
"229",1928,15641474,"Hall",638,"Francia","Masculino",46,5599,139859.54,1,1,0,38967.29,0
"230",1908,15577913,"Oliver",651,"Francia","Femenino",32,10430,144581.96,1,1,1,87609.5,0
"231",5730,15766575,"Larionova",612,"Alemania","Femenino",62,1618,140745.33,1,1,0,193437.89,1
"232",6053,15630580,"Y?",751,"Alemania","Masculino",34,5486,108513.25,2,1,1,27097.82,0
"233",3207,15708504,"Wong",790,"Alemania","Masculino",50,9241,121438.58,1,1,1,176471.78,1
"234",3850,15578648,"Marino",543,"Alemania","Masculino",49,5725,59532.18,1,1,0,104253.56,0
"235",4669,15798439,"Davidson",714,"España","Masculino",25,5339,0,1,1,1,132979.43,0
"236",9525,15714567,"Chan",568,"España","Femenino",26,2346,0,2,0,0,166495.2,0
"237",5256,15764409,"Goodman",613,"Francia","Masculino",37,3194,108286.5,1,1,1,114153.44,0
"238",9987,15778368,"Allan",552,"Alemania","Masculino",50,4255,121175.56,1,1,0,117505.07,1
"239",4852,15622003,"Carslaw",745,"Francia","Masculino",35,1573,92566.53,2,1,0,161519.77,0
"240",4154,15756975,"Montemayor",777,"España","Femenino",35,5680,0,2,1,1,17257.72,0
"241",4589,15576683,"Yin",568,"España","Femenino",43,2336,0,1,1,0,125870.79,1
"242",4205,15737814,"Lo",622,"Francia","Masculino",41,7856,127087.06,1,1,0,102402.91,1
"243",6744,15779247,"Pai",683,"España","Femenino",24,2803,98567.1,1,1,0,187987.01,0
"244",6116,15791769,"Gardener",691,"Francia","Femenino",29,8603,116536.43,1,1,0,51987.99,0
"245",7732,15633227,"Kenechukwu",518,"Francia","Femenino",28,9679,85146.36,1,0,0,2803.89,0
"246",6732,15595071,"Ramos",696,"Francia","Masculino",22,3707,149777,1,1,1,198032.93,0
"247",4105,15640922,"Demaine",791,"Francia","Femenino",52,5204,0,1,1,1,122782.5,0
"248",8521,15642709,"Feng",474,"Francia","Femenino",30,6091,0,2,0,0,63158.22,0
"249",9947,15762332,"Ulyanova",568,"Alemania","Femenino",31,2471,61592.14,2,1,1,61796.64,0
"250",3220,15721462,"Shubin",622,"España","Femenino",58,6102,0,2,1,1,33277.31,0
"251",3090,15729970,"Ugochukwu",684,"Alemania","Masculino",29,3005,127269.75,1,0,1,79495.01,0
"252",852,15682868,"Elliott",850,"Francia","Femenino",40,10528,99816.46,1,1,1,163989.66,1
"253",9770,15638424,"Glauert",661,"Alemania","Femenino",35,1069,150725.53,2,0,1,113656.85,0
"254",854,15762216,"Barrera",686,"Francia","Femenino",41,3260,129553.76,2,1,0,187599.8,0
"255",3877,15612776,"McKay",850,"España","Femenino",39,2800,0,2,1,1,143030.09,0
"256",3330,15651627,"White",628,"Alemania","Masculino",39,7930,115341.19,1,1,1,107674.3,1
"257",7478,15623202,"Maslov",704,"Alemania","Femenino",39,6472,102556.18,2,1,0,171971.25,1
"258",9190,15618018,"Dickson",571,"Francia","Femenino",35,2559,104783.81,2,0,1,178512.52,0
"259",1789,15634359,"Dyer",639,"Alemania","Femenino",41,4581,98635.77,1,1,0,199970.74,0
"260",2642,15573769,"Fiorentini",764,"Francia","Femenino",24,2195,0,2,1,0,186105.99,0
"261",2900,15629603,"Chuang",607,"Francia","Masculino",31,4964,0,2,1,1,43196.5,0
"262",3954,15653065,"Nwabugwu",530,"España","Femenino",22,7146,0,2,1,0,104170.48,0
"263",1107,15731267,"Rizzo",797,"Francia","Masculino",37,9291,75263.7,1,1,0,85801.77,0
"264",9505,15749688,"Lu",541,"Francia","Masculino",32,9458,0,2,0,0,40889.14,0
"265",2171,15641170,"Liang",640,"España","Masculino",36,6055,0,1,0,0,173016.46,0
"266",7637,15707078,"Kruglov",577,"Francia","Femenino",26,2804,180530.51,1,0,0,123454.62,0
"267",9059,15582180,"Lees",561,"Francia","Masculino",29,2395,120268.13,1,1,1,173870.39,0
"268",6054,15756871,"Capon",512,"España","Masculino",39,5803,0,1,1,0,134878.19,0
"269",9049,15717164,"Genovese",485,"España","Masculino",32,2022,102238.01,2,1,1,194010.12,0
"270",4382,15802118,"Ignatieff",664,"España","Masculino",41,9986,123428.69,1,1,1,164924.11,0
"271",2100,15595728,"Thomas",523,"Alemania","Masculino",41,3341,119276.31,1,0,0,122284.38,1
"272",2154,15777046,"Parry",580,"Francia","Femenino",39,9890,128362.59,1,1,0,86044.98,0
"273",7937,15608804,"Allan",824,"Alemania","Masculino",49,8497,133231.48,1,1,1,67885.37,0
"274",2698,15738907,"Tobenna",798,"Francia","Femenino",60,4617,96956.1,1,1,0,31907.44,1
"275",3391,15757188,"Chimaijem",644,"España","Femenino",26,8370,153455.72,2,1,1,82696.84,0
"276",938,15687491,"Nkemdilim",817,"Alemania","Masculino",45,4036,101207.75,1,0,0,88211.12,1
"277",1228,15587174,"Kerr",726,"Francia","Masculino",29,6168,0,2,1,1,91844.14,1
